2026-09-12 21:39:24,534 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-12 21:39:24,535 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-12 21:39:25,203 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-12 21:39:25,244 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/exists "HTTP/1.1 200 OK"
2026-09-12 21:39:25,247 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-09-12 21:39:25,247 | INFO | hr_assistant.vector_store | Connecting to the quadrant clloud
2026-09-12 21:39:25,247 | INFO | hr_assistant.embeddings | Initializing embeddings model 'embed-english-light-v3.0'
2026-09-12 21:40:56,077 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-12 21:40:56,077 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-12 21:40:56,627 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-12 21:40:56,628 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/exists "HTTP/1.1 200 OK"
2026-09-12 21:40:56,631 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-09-12 21:40:56,631 | INFO | hr_assistant.vector_store | Connecting to the quadrant clloud
2026-09-12 21:40:56,631 | INFO | hr_assistant.embeddings | Initializing embeddings model 'embed-english-light-v3.0'
2026-09-12 21:41:32,200 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-12 21:41:32,201 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-12 21:41:32,898 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/exists "HTTP/1.1 200 OK"
2026-09-12 21:41:32,901 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-09-12 21:41:32,901 | INFO | hr_assistant.vector_store | Connecting to the quadrant clloud
2026-09-12 21:41:32,902 | INFO | hr_assistant.embeddings | Initializing embeddings model 'embed-english-light-v3.0'
2026-09-12 21:41:32,908 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-12 21:43:56,189 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-12 21:43:56,189 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-12 21:43:56,847 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/exists "HTTP/1.1 200 OK"
2026-09-12 21:43:56,849 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-09-12 21:43:56,849 | INFO | hr_assistant.vector_store | Connecting to the quadrant clloud
2026-09-12 21:43:56,850 | INFO | hr_assistant.embeddings | Initializing embeddings model 'embed-english-light-v3.0'
2026-09-12 21:43:57,343 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-12 21:46:47,125 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-12 21:46:47,125 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-12 21:46:47,814 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/exists "HTTP/1.1 200 OK"
2026-09-12 21:46:47,816 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-09-12 21:46:47,817 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-12 21:46:47,817 | INFO | hr_assistant.vector_store | Connecting to the quadrant clloud
2026-09-12 21:46:47,818 | INFO | hr_assistant.embeddings | Initializing embeddings model 'embed-english-light-v3.0'
2026-09-12 21:47:31,581 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-12 21:47:31,581 | INFO | hr_assistant.pipeline | Building HR assistant...
