2026-09-15 19:53:35,082 | INFO | hr_assistant.evaluation | Dataset 'hr-policy-qna' already exists, reusing it
2026-09-15 19:53:35,451 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-15 19:53:35,451 | INFO | hr_assistant.pipeline | Building HR assistant...
2026-09-15 19:53:35,968 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/exists "HTTP/1.1 200 OK"
2026-09-15 19:53:35,971 | INFO | hr_assistant.pipeline | Qdrant Cloud collection already exists, reusing it
2026-09-15 19:53:35,971 | INFO | hr_assistant.vector_store | Connecting to the quadrant clloud
2026-09-15 19:53:35,974 | INFO | hr_assistant.embeddings | Initializing embeddings model 'embed-english-light-v3.0'
2026-09-15 19:53:35,986 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-15 19:53:36,598 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy "HTTP/1.1 200 OK"
2026-09-15 19:53:36,648 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-15 19:53:36,981 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-09-15 19:53:36,986 | INFO | hr_assistant.vector_store | Creating retriever with top_k=3
2026-09-15 19:53:36,989 | INFO | hr_assistant.llm | Initializing LLM via a portkey 
2026-09-15 19:53:36,989 | INFO | hr_assistant.gateway | Routing LLM calls through Portkey (provider=@hr-policy)
2026-09-15 19:53:37,455 | INFO | hr_assistant.agent | Creating HR agent with 1 tool(s)
2026-09-15 19:53:37,460 | INFO | hr_assistant.agent | HR agent Ready
2026-09-15 19:53:37,460 | INFO | hr_assistant.pipeline | HR assistant is ready to take questions
2026-09-15 19:53:37,460 | INFO | hr_assistant.vector_store | Connecting to the quadrant clloud
2026-09-15 19:53:37,460 | INFO | hr_assistant.embeddings | Initializing embeddings model 'embed-english-light-v3.0'
2026-09-15 19:53:38,094 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy "HTTP/1.1 200 OK"
2026-09-15 19:53:38,519 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-09-15 19:53:38,523 | INFO | hr_assistant.vector_store | Creating retriever with top_k=3
2026-09-15 19:53:38,525 | INFO | hr_assistant.evaluation | Running evaluation against dataset 'hr-policy-qna'
2026-09-15 19:53:39,021 | INFO | httpx | HTTP Request: GET https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333 "HTTP/1.1 200 OK"
2026-09-15 19:53:40,528 | INFO | hr_assistant.pipeline | User question: How many days of unused annual leave can be carried forward?
2026-09-15 19:53:40,825 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 19:53:41,821 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 19:53:41,834 | INFO | hr_assistant.tools | search_hr_policy called with query: How many days of unused annual leave can be carried forward?
2026-09-15 19:53:42,179 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-09-15 19:53:42,680 | INFO | httpx | HTTP Request: POST https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/points/query "HTTP/1.1 200 OK"
2026-09-15 19:53:42,682 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-09-15 19:53:43,237 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 19:53:43,240 | INFO | hr_assistant.pipeline | Final answer: You can carry forward up to **5 days** of unused annual leave into the next calendar year. If you have more than that, any extra days will not be rolled over.
2026-09-15 19:53:43,522 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 19:53:43,922 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-09-15 19:53:44,409 | INFO | httpx | HTTP Request: POST https://303a03b6-1d8f-457d-af46-336869acd983.eu-west-2-0.aws.cloud.qdrant.io:6333/collections/HR_policy/points/query "HTTP/1.1 200 OK"
2026-09-15 19:53:45,484 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-15 19:53:46,413 | INFO | httpx2 | HTTP Request: POST https://api.portkey.ai/v1/chat/completions "HTTP/1.1 200 OK"
